Trade #,Type,Signal,Date/Time,Price BRL,Contracts,Profit BRL,Profit %,Cum. Profit BRL,Cum. Profit %,Run-up BRL,Run-up %,Drawdown BRL,Drawdown %
120,Exit Long,SL,2024-07-09 14:54,128335,43,-1118.00,-0.10,22537.00,-2.56,602.00,0.05,1118.00,0.10
120,Entry Long,Buy,2024-07-09 14:48,128465,43,-1118.00,-0.10,22537.00,-2.56,602.00,0.05,1118.00,0.10
119,Exit Long,TP,2024-07-09 13:26,128265,40,2880.00,0.28,23655.00,7.06,4080.00,0.40,360.00,0.04
119,Entry Long,Buy,2024-07-09 12:34,127905,40,2880.00,0.28,23655.00,7.06,4080.00,0.40,360.00,0.04
118,Exit Long,TP,2024-07-09 10:20,127530,39,1209.00,0.12,20775.00,3.06,3393.00,0.34,624.00,0.06
118,Entry Long,Buy,2024-07-09 09:52,127375,39,1209.00,0.12,20775.00,3.06,3393.00,0.34,624.00,0.06
117,Exit Long,TP,2024-07-08 15:14,127680,37,1591.00,0.17,19566.00,4.19,2812.00,0.30,1073.00,0.11
117,Entry Long,Buy,2024-07-08 14:22,127465,37,1591.00,0.17,19566.00,4.19,2812.00,0.30,1073.00,0.11
116,Exit Long,SL,2024-07-05 14:14,127290,38,-988.00,-0.10,17975.00,-2.54,76.00,0.01,988.00,0.10
116,Entry Long,Buy,2024-07-05 14:08,127420,38,-988.00,-0.10,17975.00,-2.54,76.00,0.01,988.00,0.10
115,Exit Long,TP,2024-07-05 12:56,127365,37,1665.00,0.18,18963.00,4.46,2923.00,0.31,888.00,0.09
115,Entry Long,Buy,2024-07-05 11:26,127140,37,1665.00,0.18,18963.00,4.46,2923.00,0.31,888.00,0.09
114,Exit Long,SL,2024-07-05 09:30,127435,38,-1026.00,-0.11,17298.00,-2.68,2546.00,0.26,1026.00,0.11
114,Entry Long,Buy,2024-07-05 09:22,127570,38,-1026.00,-0.11,17298.00,-2.68,2546.00,0.26,1026.00,0.11
113,Exit Long,Close Position (Max intraday Loss),2024-07-04 14:18,127475,39,-1404.00,-0.14,18324.00,-3.53,429.00,0.04,1404.00,0.14
113,Entry Long,Buy,2024-07-04 14:12,127655,39,-1404.00,-0.14,18324.00,-3.53,429.00,0.04,1404.00,0.14
112,Exit Long,SL,2024-07-04 14:06,127495,40,-640.00,-0.06,19728.00,-1.59,1240.00,0.12,640.00,0.06
112,Entry Long,Buy,2024-07-04 13:56,127575,40,-640.00,-0.06,19728.00,-1.59,1240.00,0.12,640.00,0.06
111,Exit Long,SL,2024-07-04 11:54,127465,41,-1435.00,-0.14,20368.00,-3.43,615.00,0.06,1435.00,0.14
111,Entry Long,Buy,2024-07-04 11:46,127640,41,-1435.00,-0.14,20368.00,-3.43,615.00,0.06,1435.00,0.14
110,Exit Long,SL,2024-07-03 16:14,127440,42,-966.00,-0.09,21803.00,-2.26,1722.00,0.16,966.00,0.09
110,Entry Long,Buy,2024-07-03 15:00,127555,42,-966.00,-0.09,21803.00,-2.26,1722.00,0.16,966.00,0.09
109,Exit Long,TP,2024-07-02 16:02,126280,40,2120.00,0.21,22769.00,5.22,3440.00,0.34,600.00,0.06
109,Entry Long,Buy,2024-07-02 14:10,126015,40,2120.00,0.21,22769.00,5.22,3440.00,0.34,600.00,0.06
108,Exit Long,SL,2024-07-02 13:32,125985,42,-1512.00,-0.14,20649.00,-3.59,84.00,0.01,1512.00,0.14
108,Entry Long,Buy,2024-07-02 13:28,126165,42,-1512.00,-0.14,20649.00,-3.59,84.00,0.01,1512.00,0.14
107,Exit Long,TP,2024-06-28 14:56,125530,40,1560.00,0.16,22161.00,3.84,2560.00,0.26,720.00,0.07
107,Entry Long,Buy,2024-06-28 13:58,125335,40,1560.00,0.16,22161.00,3.84,2560.00,0.26,720.00,0.07
106,Exit Long,TP,2024-06-27 15:00,125240,38,2242.00,0.24,20601.00,5.84,3268.00,0.34,114.00,0.01
106,Entry Long,Buy,2024-06-27 14:22,124945,38,2242.00,0.24,20601.00,5.84,3268.00,0.34,114.00,0.01
105,Exit Long,TP,2024-06-27 13:10,124910,36,1512.00,0.17,18359.00,4.10,3024.00,0.34,288.00,0.03
105,Entry Long,Buy,2024-06-27 12:26,124700,36,1512.00,0.17,18359.00,4.10,3024.00,0.34,288.00,0.03
104,Exit Long,Close Position (Max intraday Loss),2024-06-26 11:08,123080,37,-888.00,-0.10,16847.00,-2.35,629.00,0.07,888.00,0.10
104,Entry Long,Buy,2024-06-26 11:02,123200,37,-888.00,-0.10,16847.00,-2.35,629.00,0.07,888.00,0.10
